,zone,agg_value,CA,total,owner,mean_value
0,0,1634575100,12.0,24282,5773,283141.0
1,1,3250195200,28.0,25602,11961,271733.0
2,2,2875388300,36.0,29742,9325,308353.0
3,3,3140860400,44.0,18349,7265,432328.0
4,4,5517116200,70.0,14260,8118,679615.0
5,5,10957532700,204.0,52749,19844,552184.0
6,6,11789322900,140.0,32323,14370,820412.0
7,7,15572888700,160.0,55848,23322,667734.0
8,8,1317965100,27.0,4643,3609,365188.0
9,9,4668137500,80.0,16971,13372,349098.0
10,10,2105817600,66.0,10515,6750,311973.0
11,11,2775909200,48.0,6982,6191,448378.0
12,12,1186979300,52.0,6557,3287,361113.0
13,13,2432813400,154.0,16678,6868,354224.0
14,14,3984826200,210.0,22613,13251,300719.0
15,15,3542914100,240.0,20410,9940,356430.0
16,16,2876722600,187.0,15683,11715,245559.0
17,17,678406700,36.0,4577,2930,231538.0
18,18,3088525000,323.0,22495,11475,269153.0
19,19,843043800,120.0,7016,3317,254159.0
20,20,2295264600,210.0,13388,5289,433969.0
21,21,5126584700,594.0,29818,11201,457690.0
22,22,1312959500,345.0,17141,6228,210816.0
23,23,7706953700,744.0,37135,14747,522612.0
24,24,2510627800,600.0,32222,12994,193214.0
25,25,215223300,260.0,5332,1249,172316.0
26,26,247144000,324.0,6722,1330,185823.0
27,27,4154939800,560.0,28208,9786,424580.0
28,28,444618800,435.0,11194,2710,164066.0
29,29,1007710700,540.0,17946,6537,154155.0
30,30,869295200,341.0,12259,3684,235965.0
31,31,4669700700,160.0,20195,8078,578076.0
32,32,3768800200,99.0,13942,7810,482561.0
33,33,602384400,170.0,5451,2041,295142.0
34,34,378999800,350.0,9625,1447,261921.0
35,35,171112000,108.0,3096,504,339508.0
36,36,32047000,74.0,1070,288,111274.0
37,37,512566000,570.0,10537,1982,258610.0
38,38,1180830200,273.0,9308,3137,376420.0
39,39,114606400,240.0,4538,564,203203.0
40,40,1642748200,492.0,13043,4566,359778.0
41,41,351526200,462.0,10588,2177,161473.0
42,42,841220000,645.0,21703,4191,200721.0
43,43,913848800,440.0,13672,4939,185027.0
44,44,427730500,90.0,3905,2596,164765.0
45,45,1121098300,460.0,10491,4011,279506.0
46,46,53203600,47.0,1046,487,109248.0
47,47,609694900,240.0,5248,3832,159106.0
48,48,1140036400,686.0,14164,7644,149141.0
49,49,203748500,150.0,3067,1443,141198.0
50,50,340532700,204.0,5206,2926,116382.0
51,51,666415100,312.0,6906,4604,144747.0
52,52,1263242500,477.0,10398,6763,186787.0
53,53,9742000,108.0,2560,137,71109.0
54,54,373941900,110.0,3458,2569,145559.0
55,55,2159849800,616.0,12253,10106,213720.0
56,56,421911900,285.0,3936,2241,188269.0
57,57,1141762400,580.0,12492,6138,186015.0
58,58,732846800,295.0,5243,3033,241624.0
59,59,1972714500,600.0,12878,5901,334302.0
60,60,678561400,1037.0,12493,4389,154605.0
61,61,706949100,248.0,5191,3822,184968.0
62,62,877874900,504.0,9800,5379,163204.0
63,63,1199571700,448.0,8880,6000,199929.0
64,64,1130418400,390.0,9228,6522,173324.0
65,65,987692100,726.0,16291,7016,140777.0
66,66,693717200,1273.0,9521,4523,153375.0
67,67,314604000,748.0,9101,2273,138409.0
68,68,605791700,828.0,12230,3764,160944.0
69,69,2007081800,560.0,13080,10843,185104.0
70,70,1079667800,1065.0,16967,7607,141931.0
71,71,2121562200,504.0,7557,6242,339885.0
72,72,1008975700,584.0,9485,6463,156116.0
73,73,1428095000,296.0,6751,5807,245926.0
74,74,1416215000,525.0,10472,7026,201568.0
75,75,1004228300,456.0,9029,4081,246074.0
76,76,4088393900,1309.0,28880,10485,389928.0
